user_id_csv,user_id,id,pw,email,nickname,address,address_gu,address_dong,lat_long,lat,long
1,72fb0d0087d28c832f15776b0d936598,1,1,72fb0d00@bkms.com,Judith1,서울특별시 강남구 도곡동 도곡대림,강남구,도곡동,"[37.4865450724295, 127.039889051865]",37.4865450724295,127.039889051865
163,854c0f8798c2d694255830bb6ea29416,163,163,854c0f87@bkms.com,Dimetry163,서울특별시 동작구 상도동 상도래미안1차제2,동작구,상도동,"[37.50571609361137, 126.93334302462937]",37.50571609361137,126.93334302462937
293,9d10196759e6bedd378367a12f639fc1,293,293,9d101967@bkms.com,Jarmo293,서울특별시 성동구 금호동4가 서울숲2차푸르지오,성동구,금호동4가,"[37.5461200187428, 127.024069426318]",37.5461200187428,127.024069426318
449,515ce9e61827255a3569b93635d00773,449,449,515ce9e6@bkms.com,Graham449,서울특별시 은평구 구산동 갈현1단지e-편한세상,은평구,구산동,"[37.61222070967136, 126.90719433978998]",37.61222070967136,126.90719433978998
663,0a42d0d0e55ef8ec8de411e1baec6880,663,663,0a42d0d0@bkms.com,Donnie663,서울특별시 영등포구 문래동3가 문래자이아파트,영등포구,문래동3가,"[37.51634929893328, 126.89697455210819]",37.51634929893328,126.89697455210819
706,af47e7fb849f002e3964f74324495150,706,706,af47e7fb@bkms.com,Vaughn706,서울특별시 노원구 상계동 상계한신,노원구,상계동,"[37.67382837447261, 127.0600533481706]",37.67382837447261,127.0600533481706
871,705978b3f98eae8c1ee1b4e284fa2396,871,871,705978b3@bkms.com,Lyndon871,서울특별시 은평구 진관동 은평뉴타운기자촌11단지,은평구,진관동,"[37.63502894360171, 126.93395383116092]",37.63502894360171,126.93395383116092
902,5e72863b9b6029543c922dea68c263d0,902,902,5e72863b@bkms.com,Anatole902,서울특별시 도봉구 창동 창동주공18단지,도봉구,창동,"[37.64653533699463, 127.05207797719487]",37.64653533699463,127.05207797719487
1059,215a24dc92f8f926dedb8a0d9b33ab3e,1059,1059,215a24dc@bkms.com,Shyam1059,서울특별시 강서구 등촌동 등촌임광,강서구,등촌동,"[37.540480296954, 126.863368034573]",37.540480296954,126.863368034573
1211,4eb72e894c8c133b4225ab56d46db90b,1211,1211,4eb72e89@bkms.com,Liz1211,서울특별시 강남구 대치동 대치선경,강남구,대치동,"[37.49306988579354, 127.06340009908789]",37.49306988579354,127.06340009908789
1341,dcd1ea64ff1341f053cc15397f1954fc,1341,1341,dcd1ea64@bkms.com,Skip1341,서울특별시 동작구 사당동 이수역리가,동작구,사당동,"[37.48973539304456, 126.97473160945]",37.48973539304456,126.97473160945
1401,8173c59d02820ff470e355cc71627e12,1401,1401,8173c59d@bkms.com,Rupert1401,서울특별시 영등포구 신길동 신길자이,영등포구,신길동,"[37.507186422616726, 126.91676758534649]",37.507186422616726,126.91676758534649
